"method","N","M","P","execution_time","work_performed"
"MatMul","123","308","4","33.108563","129.206345"
"MatMul","72","141","4","7.4147621875","28.60191575"
"MatMul","43","83","4","1.4946613515625","5.685787015625"
"dijkstra","154","329","16","90.2325050390625","571.3482480742188"
"dijkstra","152","380","16","81.5491066665039","532.77869784375"
"dijkstra","50","98","16","3.1867373046875","22.082068900390624"
"dijkstra","148","316","16","58.10804994580078","393.58423075"
"dijkstra","106","217","16","28.0281206015625","187.96197853515625"
"dijkstra","164","361","16","77.26837193457031","519.5643726210938"
"dijkstra","66","163","16","7.98876258203125","52.4534574140625"
"dijkstra","42","76","16","1.92995803125","13.30190417578125"
"dijkstra","103","194","16","27.488348107421874","191.04120864453125"
"dijkstra","51","109","16","4.98793719946289","32.08959649023438"
"dijkstra","32","58","16","0.9726931239013672","7.042388715820312"
"dijkstra","73","134","16","10.137687207275391","70.969757171875"
"dijkstra","130","277","16","51.91843808862305","332.1296248125"
"dijkstra","101","189","16","26.432771747558593","184.10434473046874"
"dijkstra","26","47","16","0.5563855324707031","4.048319626953125"
"dijkstra","37","68","16","1.294287265991211","9.024159209960937"
"dijkstra","159","348","16","70.54423193017578","471.7256726484375"
"dijkstra","105","310","16","24.41728373828125","153.4769391953125"
"dijkstra","28","50","16","0.7666787626953125","5.58730899609375"
"dijkstra","110","279","16","33.61402378320312","223.400461875"
"dijkstra","89","184","16","15.336973191894531","104.723163859375"
"dijkstra","155","338","16","66.4058968857422","448.183776203125"
"dijkstra","118","222","16","38.47661927929688","264.9546793984375"
"dijkstra","103","194","16","27.547306470703123","191.06178871484374"
"dijkstra","40","73","16","1.7395370194091797","12.5074211484375"
"dijkstra","101","297","16","21.45907560498047","137.761553375"
"dijkstra","114","338","16","30.58008033203125","190.53638385351562"
"dijkstra","138","298","16","59.409649661621096","398.84325673828124"
"dijkstra","52","103","16","3.475505219970703","24.03364782421875"
"dijkstra","70","141","16","8.329214435058594","58.271203166015624"
"dijkstra","51","109","16","4.988351927734375","32.09993553125"
